mesa exterior jardin,,5000,0%,900%,高,100,3.77,25.44,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesa exteriores,,5000,0%,0%,高,100,3.33,29.00,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesa jardin,,5000,0%,0%,高,100,3.26,23.78,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesa jardin exterior,,5000,0%,900%,高,100,3.77,25.44,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesa jardín,,5000,0%,0%,高,100,3.26,23.78,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesa para balcon,,5000,0%,0%,高,100,1.44,11.13,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesa para exterior,,5000,0%,0%,高,100,3.19,29.03,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesa para jardin,,5000,0%,0%,高,100,2.56,16.26,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesa para terraza,,5000,0%,0%,高,100,1.48,14.50,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesa terraza,,5000,0%,0%,高,100,1.54,12.01,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesa terraza pequeña,,5000,-90%,0%,高,100,1.14,7.65,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesa y sillas para jardin,,5000,0%,0%,高,100,2.31,15.15,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas de exterior,,5000,0%,0%,高,100,3.67,33.80,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas de fierro para terraza,,500,-90%,-90%,高,97,1.66,9.34,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas de jardin,,5000,0%,0%,高,100,2.98,20.45,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas de noche para hotel,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas de restaurante,,5000,0%,0%,高,71,5.64,46.38,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas de terraza,,5000,-90%,0%,高,100,1.24,11.79,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas para cafeteria,,5000,0%,0%,高,92,7.04,121.98,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas para exterior,,5000,0%,0%,高,100,3.19,29.03,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas para jardin con sombrilla,,5000,0%,0%,高,100,1.98,17.07,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas para jardín,,5000,0%,0%,高,100,2.56,16.26,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas para restaurante,,5000,0%,0%,高,91,5.66,46.25,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas restaurante,,5000,0%,0%,高,88,7.05,46.25,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas terraza,,5000,0%,0%,高,100,1.54,12.01,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas y sillas de jardin,,5000,0%,0%,高,100,2.71,16.34,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas y sillas para cafeteria,,5000,0%,0%,高,93,5.37,79.58,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas y sillas para negocio,,5000,0%,0%,高,91,3.69,36.81,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesas y sillas para restaurante,,5000,0%,0%,高,94,5.88,46.18,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mobiliario hotelero,,50,0%,0%,中,48,16.81,64.11,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mobiliario hotelero a medida,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mobiliario para hoteles,,50,0%,0%,中,50,11.49,56.84,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mobiliario para hoteles catálogo,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mobiliario para restaurante,,5000,0%,0%,高,98,10.49,57.72,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mueble recepcion,,5000,0%,0%,高,92,6.81,63.54,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles de bares,,5000,0%,0%,高,98,1.28,10.64,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles de exterior,,5000,0%,0%,高,100,4.09,29.29,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles de jardin,,5000,0%,0%,高,100,3.62,22.01,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles de jardin exterior,,5000,0%,0%,高,100,3.07,20.45,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles de recepcion,,5000,0%,0%,高,92,8.29,127.18,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles de terraza,,5000,0%,0%,高,100,1.28,11.82,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles exterior,,5000,0%,0%,高,100,3.61,27.07,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles hoteleros,,50,0%,0%,中,38,13.65,66.91,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles hoteleros a medida,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles hoteleros por categoría,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para bar de hotel,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para cafeteria,,5000,0%,0%,高,90,5.58,46.06,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para cafeterias,,5000,0%,0%,高,90,5.58,46.06,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para exteriores,,500,0%,0%,高,100,1.80,14.88,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para exteriores de hotel,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para habitaciones de hotel,,50,0%,0%,中,38,9.86,39.61,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para hotel,,500,0%,0%,中,52,12.99,55.80,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para hoteles,,500,0%,0%,中,52,12.99,55.80,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para hoteles al por mayor,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para hoteles catálogo,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para jardin,,5000,0%,0%,高,100,2.79,20.77,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para lobby de hotel,,50,0%,0%,中,47,9.41,20.55,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para recepción,,5000,-90%,-90%,高,87,7.63,108.45,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para recepción de hotel,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para restaurante,,500,0%,0%,高,76,6.44,46.26,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para restaurante de hotel,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para salas de conferencia,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para salones de eventos,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para terraza pequeña,,500,0%,0%,高,100,1.03,9.75,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para terrazas,,5000,0%,0%,高,100,1.27,13.76,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para terrazas de hotel,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles para áreas comunes de hotel,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
muebles terraza,,5000,0%,0%,高,100,1.69,14.70,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
proveedor de mobiliario hotelero,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
proveedor de muebles hoteleros para proyecto,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
proveedor de muebles para hoteles,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
proveedor hotelero,,500,0%,900%,低,12,21.11,75.73,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sala de jardin exterior,,5000,0%,900%,高,100,2.85,18.50,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sala para exterior,,5000,0%,0%,高,100,3.02,20.45,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sala para exteriores,,5000,0%,0%,高,100,3.02,20.45,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
set terrazas,,5000,-90%,0%,高,100,1.47,11.25,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
silla bar,,50000,0%,0%,高,100,1.50,9.58,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
silla bar negra,,500,0%,0%,高,100,2.02,10.07,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
silla estibable,,500,0%,0%,高,100,3.37,95.36,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
silla para jardin,,5000,0%,0%,高,100,2.16,20.45,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas altas para barra,,5000,0%,0%,高,100,1.38,12.17,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas de bar,,50000,0%,0%,高,100,1.18,8.21,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas de bar con respaldo,,500,0%,0%,高,100,1.72,10.42,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas de barra,,50000,0%,0%,高,100,1.18,8.21,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas de exterior,,5000,0%,0%,高,100,3.20,34.77,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas de jardin,,5000,0%,0%,高,100,2.46,20.77,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas de madera terraza,,500,0%,0%,高,100,0.86,9.67,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas de terraza,,50000,0%,0%,高,100,0.90,7.33,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas exterior,,5000,0%,0%,高,100,3.53,33.52,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas jardin,,5000,0%,0%,高,100,2.98,26.86,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas jardín,,5000,0%,0%,高,100,2.98,26.86,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas para balcon pequeño,,500,0%,0%,高,98,1.00,8.17,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas para bar,,5000,0%,0%,高,100,1.01,10.68,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas para barra de cocina,,5000,0%,0%,高,100,1.27,8.21,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas para barra de cocina modernas,,500,0%,0%,高,99,0.80,10.08,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas para cafeteria,,5000,0%,0%,高,100,4.84,69.19,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
sillas para exterior,,5000,0%,0%,高,100,2.98,29.92,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
