keyword,source_seed_group,avg_monthly_searches,competition,top_of_page_bid_low,top_of_page_bid_high,notes
mesas de jardin,hotel-products-a5,5000,高,2.98,20.77,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesas de restaurante,hotel-products-a5,5000,高,5.76,46.46,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesas de terraza,hotel-products-a5,5000,高,1.20,12.46,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesas para cafeteria,hotel-products-a5,5000,高,8.57,126.70,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesas para exterior,hotel-products-a5,5000,高,3.80,37.14,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesas para jardín,hotel-products-a5,5000,高,2.74,16.26,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesas para jardin con sombrilla,hotel-products-a5,5000,高,2.00,18.39,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesas para restaurante,hotel-products-a5,5000,高,6.17,46.27,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesas restaurante,hotel-products-a5,5000,高,7.50,46.29,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesas terraza,hotel-products-a5,5000,高,1.49,12.58,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesas y sillas de jardin,hotel-products-a5,5000,高,2.74,16.34,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesas y sillas para negocio,hotel-products-a5,5000,高,4.30,43.43,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesas y sillas para restaurante,hotel-products-a5,5000,高,7.01,46.27,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mobiliario para restaurante,hotel-products-a5,5000,高,11.52,57.72,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mueble recepcion,hotel-conversion-china-a6,5000,高,6.81,63.54,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch6-conversion-china.csv"
muebles de bares,hotel-products-a5,5000,高,1.28,10.82,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
muebles de exterior,hotel-products-a5,5000,高,7.19,40.68,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
muebles de jardin,hotel-products-a5,5000,高,3.69,22.51,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
muebles de jardin exterior,hotel-products-a5,5000,高,3.25,20.45,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
muebles de recepcion,hotel-conversion-china-a6,5000,高,8.44,127.18,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch6-conversion-china.csv"
muebles de terraza,hotel-products-a5,5000,高,1.32,11.74,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
muebles exterior,hotel-products-a5,5000,高,6.80,36.71,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
muebles para cafeteria,hotel-products-a5,5000,高,5.92,46.16,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
muebles para cafeterias,hotel-products-a5,5000,高,5.92,46.16,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
muebles para jardin,hotel-products-a5,5000,高,2.88,21.06,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
muebles para recepción,hotel-conversion-china-a6,5000,高,7.63,111.75,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch6-conversion-china.csv"
muebles para terrazas,hotel-products-a5,5000,高,1.28,15.66,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
muebles terraza,hotel-products-a5,5000,高,1.60,14.78,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sala de jardin exterior,hotel-products-a5,5000,高,2.85,18.50,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sala para exterior,hotel-products-a5,5000,高,3.82,22.71,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sala para exteriores,hotel-products-a5,5000,高,3.82,22.71,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
set terrazas,hotel-products-a5,5000,高,1.52,10.95,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla bar,hotel-products-a5,5000,高,1.68,9.39,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla colgante terraza,hotel-products-a5,5000,高,1.12,7.51,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
silla para jardin,hotel-products-a5,5000,高,2.16,20.45,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas altas para barra,hotel-products-a5,5000,高,1.53,14.11,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de bar,hotel-products-a5,5000,高,1.26,9.08,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de barra,hotel-products-a5,5000,高,1.26,9.08,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de exterior,hotel-products-a5,5000,高,4.79,55.78,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de jardin,hotel-products-a5,5000,高,2.48,23.32,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas de terraza baratas,hotel-products-a5,5000,高,0.61,5.57,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas exterior,hotel-products-a5,5000,高,5.13,64.61,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas jardin,hotel-products-a5,5000,高,3.25,31.35,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas jardín,hotel-products-a5,5000,高,3.25,31.35,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas para bar,hotel-products-a5,5000,高,1.11,12.17,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas para barra de cocina,hotel-products-a5,5000,高,1.28,9.28,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas para cafeteria,hotel-products-a5,5000,高,8.61,90.62,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas para exterior,hotel-products-a5,5000,高,3.78,52.81,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas para jardin,hotel-products-a5,5000,高,2.16,20.45,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas para restaurante,hotel-products-a5,5000,高,8.04,50.20,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas para terraza,hotel-products-a5,5000,高,1.11,12.14,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillas terraza,hotel-products-a5,5000,高,1.33,11.92,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillon terraza,hotel-products-a5,5000,高,1.53,10.27,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillones cafeteria,hotel-products-a5,5000,高,1.60,15.56,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillones de hotel,hotel-industry-supplier-a1,5000,低,1.69,43.40,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch1-industry-supplier.csv"
sillones de terraza,hotel-products-a5,5000,高,1.10,7.74,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillones exterior,hotel-products-a5,5000,高,3.60,25.88,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillones para exterior,hotel-products-a5,5000,高,3.19,19.77,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sillones para terraza,hotel-products-a5,5000,高,1.26,9.65,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
sofa terraza,hotel-products-a5,5000,高,1.86,12.12,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
terraza fierro,hotel-products-a5,5000,低,2.69,11.93,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
terraza muebles,hotel-products-a5,5000,高,1.60,14.78,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
terraza oferta,hotel-products-a5,5000,高,0.83,4.63,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
terrazas rústicas,hotel-products-a5,5000,低,2.24,11.38,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
armarios jardin,hotel-products-a5,500,高,2.09,14.59,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
asiento de bar,hotel-products-a5,500,高,1.32,7.00,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
asientos de terraza,hotel-products-a5,500,高,0.70,8.23,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
asientos terraza,hotel-products-a5,500,高,1.39,6.66,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
balancin terraza,hotel-products-a5,500,高,2.39,13.59,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
bancas de fierro para jardin,hotel-products-a5,500,高,1.55,15.97,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
bancas para barra,hotel-products-a5,500,高,1.28,13.26,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
bancas para jardines exteriores,hotel-products-a5,500,高,3.19,38.02,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
bancas para terrazas,hotel-products-a5,500,高,1.31,11.88,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
bancos de jardin de madera,hotel-products-a5,500,高,3.06,26.67,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
bancos jardin exterior,hotel-products-a5,500,高,2.22,24.25,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
bar para terraza,hotel-products-a5,500,高,1.31,9.88,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
bar rustico de madera,hotel-products-a5,500,高,1.46,7.80,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
barra bar de madera,hotel-products-a5,500,高,1.92,16.93,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
baul de plastico grande,hotel-products-a5,500,高,1.31,12.04,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
bazar de muebles hoteleros nichupte,hotel-industry-supplier-a1,500,低,,,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch1-industry-supplier.csv"
bufetera para restaurante,hotel-products-a5,500,高,7.78,46.30,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
butaca terraza,hotel-products-a5,500,高,1.54,18.35,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
butacas para restaurante,hotel-products-a5,500,中,5.33,41.50,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
butacas para restaurantes,hotel-products-a5,500,中,5.33,41.50,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
butacas restaurante,hotel-products-a5,500,低,1.05,10.15,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
cama burbuja,hotel-space-product-a4,500,低,11.11,34.58,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch4-space-product.csv"
cama capsula,hotel-space-product-a4,500,中,,,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch4-space-product.csv"
cama exterior,hotel-products-a5,500,高,3.34,20.49,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
cama supletoria,hotel-space-product-a4,500,低,,,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch4-space-product.csv"
camas para hotel,hotel-space-product-a4,500,高,6.02,31.95,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch4-space-product.csv"
camas para hoteles,hotel-space-product-a4,500,高,6.02,31.95,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch4-space-product.csv"
